province,date,Holiday name
Ontario,01-01-2020,New Year's day
BC,01-01-2020,New Year's day
Manitoba,01-01-2020,New Year's day
New Brunswick,01-01-2020,New Year's day
NL,01-01-2020,New Year's day
Nova Scotia,01-01-2020,New Year's day
Nunavut,01-01-2020,New Year's day
NWT,01-01-2020,New Year's day
PEI,01-01-2020,New Year's day
Quebec,01-01-2020,New Year's day
Alberta,01-01-2020,New Year's day
Saskatchewan,01-01-2020,New Year's day
Yukon,01-01-2020,New Year's day
Ontario,14-02-2020,Valentine's day
BC,14-02-2020,Valentine's day
Manitoba,14-02-2020,Valentine's day
New Brunswick,14-02-2020,Valentine's day
NL,14-02-2020,Valentine's day
Nova Scotia,14-02-2020,Valentine's day
Nunavut,14-02-2020,Valentine's day
NWT,14-02-2020,Valentine's day
PEI,14-02-2020,Valentine's day
Quebec,14-02-2020,Valentine's day
Alberta,14-02-2020,Valentine's day
Saskatchewan,14-02-2020,Valentine's day
Yukon,14-02-2020,Valentine's day
PEI,17-02-2020,Islander Day
Manitoba,17-02-2020,Louis Riel Day
Nova Scotia,17-02-2020,Heritage Day
BC,17-02-2020,Family Day
Alberta,17-02-2020,Family Day
Saskatchewan,17-02-2020,Family Day
Ontario,17-02-2020,Family Day
New Brunswick,17-02-2020,Family Day
Ontario,17-03-2020,St. Patricks Day
BC,17-03-2020,St. Patricks Day
Manitoba,17-03-2020,St. Patricks Day
New Brunswick,17-03-2020,St. Patricks Day
NL,17-03-2020,St. Patricks Day
Nova Scotia,17-03-2020,St. Patricks Day
Nunavut,17-03-2020,St. Patricks Day
NWT,17-03-2020,St. Patricks Day
PEI,17-03-2020,St. Patricks Day
Quebec,17-03-2020,St. Patricks Day
Alberta,17-03-2020,St. Patricks Day
Saskatchewan,17-03-2020,St. Patricks Day
Yukon,17-03-2020,St. Patricks Day
Ontario,10-04-2020,Easter
BC,10-04-2020,Easter
Manitoba,10-04-2020,Easter
New Brunswick,10-04-2020,Easter
NL,10-04-2020,Easter
Nova Scotia,10-04-2020,Easter
Nunavut,10-04-2020,Easter
NWT,10-04-2020,Easter
PEI,10-04-2020,Easter
Quebec,10-04-2020,Easter
Alberta,10-04-2020,Easter
Saskatchewan,10-04-2020,Easter
Yukon,10-04-2020,Easter
Ontario,10-05-2020,Mothers Day
BC,10-05-2020,Mothers Day
Manitoba,10-05-2020,Mothers Day
New Brunswick,10-05-2020,Mothers Day
NL,10-05-2020,Mothers Day
Nova Scotia,10-05-2020,Mothers Day
Nunavut,10-05-2020,Mothers Day
NWT,10-05-2020,Mothers Day
PEI,10-05-2020,Mothers Day
Quebec,10-05-2020,Mothers Day
Alberta,10-05-2020,Mothers Day
Saskatchewan,10-05-2020,Mothers Day
Yukon,10-05-2020,Mothers Day
Ontario,18-05-2020,Victoria Day
BC,18-05-2020,Victoria Day
Manitoba,18-05-2020,Victoria Day
Nunavut,18-05-2020,Victoria Day
NWT,18-05-2020,Victoria Day
PEI,18-05-2020,Victoria Day
Quebec,18-05-2020,Victoria Day
Alberta,18-05-2020,Victoria Day
Saskatchewan,18-05-2020,Victoria Day
Yukon,18-05-2020,Victoria Day
Ontario,21-06-2020,Fathers Day
BC,21-06-2020,Fathers Day
Manitoba,21-06-2020,Fathers Day
New Brunswick,21-06-2020,Fathers Day
NL,21-06-2020,Fathers Day
Nova Scotia,21-06-2020,Fathers Day
Nunavut,21-06-2020,Fathers Day
NWT,21-06-2020,Fathers Day
PEI,21-06-2020,Fathers Day
Quebec,21-06-2020,Fathers Day
Alberta,21-06-2020,Fathers Day
Saskatchewan,21-06-2020,Fathers Day
Yukon,21-06-2020,Fathers Day
NWT,21-06-2020,Aboriginal Day
Quebec,24-06-2020,St. Jean Baptiste Day
Ontario,01-07-2020,Canada Day
BC,01-07-2020,Canada Day
Manitoba,01-07-2020,Canada Day
New Brunswick,01-07-2020,Canada Day
NL,01-07-2020,Canada Day
Nova Scotia,01-07-2020,Canada Day
Nunavut,01-07-2020,Canada Day
NWT,01-07-2020,Canada Day
PEI,01-07-2020,Canada Day
Quebec,01-07-2020,Canada Day
Alberta,01-07-2020,Canada Day
Saskatchewan,01-07-2020,Canada Day
Yukon,01-07-2020,Canada Day
